,dataset,framework,metric,value
197,dblp-acm,EAGER MLP,fm,0.9967783505154638
198,dblp-acm,EAGER RF,fm,0.996780424983902
199,dblp-acm,EAGER MLP,fm,0.9977470228516254
200,dblp-acm,EAGER RF,fm,0.9971014492753624
201,dblp-acm,EAGER MLP,fm,0.9951597289448209
202,dblp-acm,EAGER RF,fm,0.9958078039342148
203,dblp-acm,EAGER MLP,fm,0.9964596073382684
204,dblp-acm,EAGER RF,fm,0.9971051785139916
205,imdb-tmdb,EAGER MLP,fm,0.9956300072833212
206,imdb-tmdb,EAGER RF,fm,0.9930682232761764
207,imdb-tmdb,EAGER MLP,fm,0.9970909090909092
208,imdb-tmdb,EAGER RF,fm,0.9974536194979994
209,imdb-tmdb,EAGER MLP,fm,0.9963530269876004
210,imdb-tmdb,EAGER RF,fm,0.9948867786705624
211,imdb-tmdb,EAGER MLP,fm,0.9974591651542648
212,imdb-tmdb,EAGER RF,fm,0.9963689179375452
213,imdb-tmdb,EAGER MLP,fm,0.9970993473531544
214,imdb-tmdb,EAGER RF,fm,0.9974591651542648
215,tmdb-tvdb,EAGER MLP,fm,0.996796925048046
216,tmdb-tvdb,EAGER RF,fm,0.9980806142034548
217,tmdb-tvdb,EAGER MLP,fm,0.9960988296488948
218,tmdb-tvdb,EAGER RF,fm,0.9947916666666669
219,tmdb-tvdb,EAGER MLP,fm,0.9947984395318594
220,tmdb-tvdb,EAGER RF,fm,0.9941444372153546
221,tmdb-tvdb,EAGER MLP,fm,0.9934810951760106
222,tmdb-tvdb,EAGER RF,fm,0.9947643979057592
223,tmdb-tvdb,EAGER MLP,fm,0.9980557355800388
224,tmdb-tvdb,EAGER RF,fm,0.9980557355800388
225,imdb-tvdb,EAGER MLP,fm,0.9948051948051948
226,imdb-tvdb,EAGER RF,fm,0.9941596365996108
227,imdb-tvdb,EAGER MLP,fm,0.9943573667711598
228,imdb-tvdb,EAGER RF,fm,0.9949937421777222
229,imdb-tvdb,EAGER MLP,fm,0.9980607627666449
230,imdb-tvdb,EAGER RF,fm,0.9980582524271844
231,imdb-tvdb,EAGER MLP,fm,0.9980582524271844
232,imdb-tvdb,EAGER RF,fm,0.9954751131221721
233,imdb-tvdb,EAGER MLP,fm,0.9986824769433464
234,imdb-tvdb,EAGER RF,fm,0.9966953073364176
235,abt-buy,DeepMatcher,prec,0.8969194030761719
236,abt-buy,DeepMatcher,prec,0.8236582946777343
237,abt-buy,DeepMatcher,prec,0.8630609893798828
238,abt-buy,DeepMatcher,prec,0.9211164855957031
239,abt-buy,DeepMatcher,prec,0.9219330596923828
240,dblp-scholar,DeepMatcher,prec,0.9970635223388672
241,dblp-scholar,DeepMatcher,prec,0.9914893341064451
242,dblp-scholar,DeepMatcher,prec,0.9818133544921877
243,dblp-scholar,DeepMatcher,prec,0.9920318603515623
244,dblp-scholar,DeepMatcher,prec,0.9981278228759766
245,tmdb-tvdb,DeepMatcher,prec,0.9768753814697265
246,tmdb-tvdb,DeepMatcher,prec,0.9863481140136721
247,tmdb-tvdb,DeepMatcher,prec,0.9763646697998049
248,tmdb-tvdb,DeepMatcher,prec,0.9731243133544922
249,tmdb-tvdb,DeepMatcher,prec,0.9791431427001952
250,amazon-google,DeepMatcher,prec,0.6639269256591797
251,amazon-google,DeepMatcher,prec,0.6116978073120117
252,amazon-google,DeepMatcher,prec,0.6216012191772461
253,amazon-google,DeepMatcher,prec,0.6648600006103516
254,amazon-google,DeepMatcher,prec,0.8012552642822266
255,imdb-tmdb,DeepMatcher,prec,0.9697608947753906
256,imdb-tmdb,DeepMatcher,prec,0.9650594329833985
257,imdb-tmdb,DeepMatcher,prec,0.9801418304443359
258,imdb-tmdb,DeepMatcher,prec,0.9624478149414063
259,imdb-tmdb,DeepMatcher,prec,0.9793887329101563
260,dblp-acm,DeepMatcher,prec,0.968866729736328
261,dblp-acm,DeepMatcher,prec,0.9786297607421877
262,dblp-acm,DeepMatcher,prec,0.9792191314697266
263,dblp-acm,DeepMatcher,prec,0.9785894012451172
264,dblp-acm,DeepMatcher,prec,0.9955242919921876
265,imdb-tvdb,DeepMatcher,prec,0.980801773071289
266,imdb-tvdb,DeepMatcher,prec,0.9847025299072265
267,imdb-tvdb,DeepMatcher,prec,0.963768081665039
268,imdb-tvdb,DeepMatcher,prec,0.9858196258544922
269,imdb-tvdb,DeepMatcher,prec,0.9823763275146484
270,abt-buy,Magellan XGBoost,prec,0.9703225806451612
271,abt-buy,Magellan RF,prec,0.9754204398447608
272,abt-buy,Magellan XGBoost,prec,0.9703225806451612
273,abt-buy,Magellan RF,prec,0.9729032258064516
274,abt-buy,Magellan XGBoost,prec,0.9703225806451612
275,abt-buy,Magellan RF,prec,0.9741602067183462
276,abt-buy,Magellan XGBoost,prec,0.9703225806451612
277,abt-buy,Magellan RF,prec,0.9754204398447608
278,abt-buy,Magellan XGBoost,prec,0.9703225806451612
279,abt-buy,Magellan RF,prec,0.9741602067183462
280,dblp-scholar,Magellan XGBoost,prec,0.9965324086423046
281,dblp-scholar,Magellan RF,prec,0.9978621058257616
282,dblp-scholar,Magellan XGBoost,prec,0.9965324086423046
283,dblp-scholar,Magellan RF,prec,0.9978621058257616
284,dblp-scholar,Magellan XGBoost,prec,0.9965324086423046
285,dblp-scholar,Magellan RF,prec,0.9978621058257616
286,dblp-scholar,Magellan XGBoost,prec,0.9965324086423046
287,dblp-scholar,Magellan RF,prec,0.9978621058257616
288,dblp-scholar,Magellan XGBoost,prec,0.9965324086423046
289,dblp-scholar,Magellan RF,prec,0.9978621058257616
